Codes,Returns,KODEX's Returns at same time,S&P's Return
0,-0.31,-0.31,-0.18
0,0.15,0.15,0.24
0,-1.39,-1.39,0.06
0,-0.08,-0.08,-0.85
0,-0.88,-0.88,-0.79
0,0.51,0.51,0.32
0,0.16,0.16,-0.42
0,0.69,0.69,0.72
0,0.12,0.12,0.1
0,0.1,0.1,0.38
0,-0.49,-0.49,-0.42
0,0.76,0.76,0.28
0,-0.16,-0.16,0.3
0,-1.22,-1.22,-0.53
0,0.45,0.45,-0.24
0,0.06,0.06,-0.28
0,-0.2,-0.2,0.4
0,0.04,0.04,-0.16
0,-1.31,-1.31,-1.48
0,0.34,0.34,-0.3
0,-0.36,-0.36,-0.22
0,0.97,0.97,0.96
0,0.22,0.22,1.11
0,-2.06,-2.06,-3.85
0,1.98,1.98,5.89
0,-1,-1,0.14
0,-0.79,-0.79,0.18
0,-0.36,-0.36,-0.62
0,0.36,0.36,0.9
0,-0.06,-0.06,-0.12
0,-0.04,-0.04,0.27
0,-0.2,-0.2,0.19
0,1.14,1.14,0.5
0,0.38,0.38,0.31
0,-0.51,-0.51,-0.15
0,0.04,0.04,0.19
0,0.3,0.3,0.17
0,0.04,0.04,-0.42
0,0.49,0.49,0.27
0,0.08,0.08,-0.23
0,-0.71,-0.71,-0.66
0,-0.12,-0.12,-0.02
0,1.21,1.21,0.85
0,0.27,0.27,0.42
0,1.7,1.7,1.13
0,0.06,0.06,0.51
0,-0.13,-0.13,0.47
0,0.19,0.19,-0.28
0,0.1,0.1,0.64
0,-0.04,-0.04,-0.32
0,0.25,0.25,0.21
0,0.08,0.08,0.09
0,0.23,0.23,0
0,-0.13,-0.13,0.22
0,-0.06,-0.06,-0.52
0,-0.13,-0.13,-0.02
0,0.19,0.19,0.58
0,0.15,0.15,-0.26
0,0.32,0.32,-0.07
0,0.06,0.06,-0.49
0,0.34,0.34,-0.56
0,0.8,0.8,0.26
0,0.11,0.11,0.43
0,-0.39,-0.39,0.56
0,0.43,0.43,0.04
0,0.24,0.24,0.49
0,-0.13,-0.13,-0.61
0,1.8,1.8,0.02
0,0.26,0.26,0.07
0,-0.26,-0.26,0.11
0,-0.55,-0.55,0.09
0,0.39,0.39,-0.11
0,-0.06,-0.06,0.07
0,0.06,0.06,-0.02
0,-0.15,-0.15,-0.04
0,-0.09,-0.09,-0.3
0,0.02,0.02,0.11
0,0.37,0.37,0.65
0,0.81,0.81,1
0,-0.55,-0.55,-1.32
0,0.29,0.29,0.26
0,-0.38,-0.38,-0.48
0,0.07,0.07,0.35
0,0.24,0.24,0.84
0,-0.09,-0.09,-0.22
0,-0.48,-0.48,0.09
0,0.15,0.15,0.07
0,0.18,0.18,0.59
0,0.06,0.06,0.5
0,-0.28,-0.28,0.42
0,0.31,0.31,0.53
0,-0.06,-0.06,0.43
0,0,0,-0.14
0,0.33,0.33,0.43
0,0.91,0.91,-0.07
0,0.2,0.2,0.41
0,0.04,0.04,-0.05
0,-0.76,-0.76,-0.04
0,-0.46,-0.46,0.27
0,0.18,0.18,-0.02
0,0.93,0.93,1.14
0,-0.96,-0.96,-0.72
0,0.11,0.11,-0.09
0,0.6,0.6,0.11
0,0.18,0.18,-0.43
0,-0.2,-0.2,0.05
0,0.07,0.07,0.37
0,1.12,1.12,-0.09
0,0.91,0.91,0.07
0,0.12,0.12,-0.09
0,0.73,0.73,0.75
0,0.44,0.44,-0.39
0,-0.12,-0.12,-0.27
0,0.97,0.97,-0.12
0,-0.33,-0.33,-1.67
0,0.16,0.16,0.83
0,-0.16,-0.16,0.02
0,-0.63,-0.63,-1.35
0,0.23,0.23,1.07
0,0.33,0.33,0.58
0,-0.09,-0.09,-0.09
0,-0.19,-0.19,-0.16
0,0.25,0.25,0.56
0,-0.21,-0.21,-0.45
0,-0.18,-0.18,0.09
0,-0.39,-0.39,-0.34
0,-0.18,-0.18,0.18
0,-0.58,-0.58,0.29
0,-0.41,-0.41,-0.21
0,0.05,0.05,-0.36
0,0.94,0.94,-0.04
0,-0.44,-0.44,-0.04
0,0.21,0.21,-0.67
0,-0.05,-0.05,0.83
0,-0.44,-0.44,-0.49
0,0.43,0.43,-0.02
0,0.83,0.83,0.96
0,0.53,0.53,0.7
0,1.01,1.01,0.11
0,0.6,0.6,0.44
0,0.19,0.19,-0.37
0,0.21,0.21,0.39
0,0.78,0.78,0.04
0,1,1,-0.04
0,2.61,2.61,0.46
0,-1.08,-1.08,-0.6
0,1.25,1.25,0.39
0,-0.43,-0.43,-0.48
0,0.23,0.23,0.48
0,0.13,0.13,0.35
0,-0.05,-0.05,-0.7
0,-0.2,-0.2,-0.97
0,-0.2,-0.2,0.16
0,0.8,0.8,0.87
0,0.3,0.3,0.21
0,0.1,0.1,0.02
0,1.17,1.17,0.85
0,0.62,0.62,0.05
0,-0.1,-0.1,0.14
0,-0.68,-0.68,-0.19
0,0.02,0.02,-0.23
0,-0.28,-0.28,0.28
0,1.23,1.23,0.93
0,-0.15,-0.15,0.1
0,-0.6,-0.6,-0.24
0,0.51,0.51,0.16
0,0.75,0.75,-0.21
0,-0.97,-0.97,-0.24
0,0.55,0.55,0.4
0,-0.02,-0.02,0.29
0,-0.4,-0.4,-0.24
0,0.03,0.03,-0.07
0,0.54,0.54,0.07
0,0.31,0.31,0.73
0,-0.63,-0.63,-0.55
0,0.66,0.66,-0.16
0,0.24,0.24,0.16
0,0.55,0.55,-0.09
0,0.03,0.03,-0.02
0,-0.32,-0.32,-0.52
0,0.69,0.69,0.87
0,-0.3,-0.3,-0.81
0,0.22,0.22,0.23
0,-0.62,-0.62,-0.02
0,0.38,0.38,-0.19
0,0.02,0.02,0.12
0,-0.4,-0.4,-0.71
0,0.34,0.34,0.89
0,0.56,0.56,-0.17
0,-0.02,-0.02,-0.16
0,1.08,1.08,0.75
0,0.14,0.14,0.09
0,0.42,0.42,0.52
0,-0.03,-0.03,-0.05
0,0.13,0.13,0.21
0,0.52,0.52,0.43
0,0.42,0.42,-0.03
0,-0.03,-0.03,-0.19
0,-0.5,-0.5,0.05
0,-0.23,-0.23,0.46
0,0.33,0.33,0.17
0,-1.95,-1.95,-0.49
0,0,0,0.15
0,0.89,0.89,0.17
0,0.27,0.27,-0.14
0,-1.78,-1.78,0.05
0,0.53,0.53,0.03
0,0.06,0.06,0.02
0,-0.16,-0.16,0
0,-1.26,-1.26,-0.22
0,-0.47,-0.47,-0.09
0,-1.83,-1.83,-1.23
0,0.89,0.89,0.33
0,0.61,0.61,0.71
0,0.57,0.57,0.05
0,-0.1,-0.1,-1.13
0,-0.11,-0.11,-0.62
0,0.34,0.34,0.33
0,0.06,0.06,0.92
0,0.47,0.47,-0.36
0,0.06,0.06,-0.16
0,-0.58,-0.58,-0.09
0,-0.26,-0.26,-0.03
0,0.37,0.37,0.66
0,-0.61,-0.61,0.4
0,0,0,0.31
0,-1.12,-1.12,0.32
0,-0.1,-0.1,-0.27
0,-0.21,-0.21,-0.46
0,1.25,1.25,0.1
0,0.07,0.07,0.03
0,0.91,0.91,0.46
0,0.08,0.08,0.51
0,0.05,0.05,0.34
0,0.39,0.39,0.02
0,0.56,0.56,-0.12
0,1.61,1.61,0.47
0,-0.05,-0.05,0.03
0,-0.06,-0.06,-0.1
0,0.08,0.08,0.07
0,-0.64,-0.64,-0.2
0,-0.09,-0.09,-0.02
0,-0.51,-0.51,-0.08
0,-0.21,-0.21,0.07
0,0.11,0.11,0.46
0,0.78,0.78,0.07
0,1.81,1.81,1.51
0,1.05,1.05,0.1
0,0.64,0.64,0.08
0,-0.12,-0.12,-0.03
0,0.09,0.09,0.02
0,0.21,0.21,0.28
0,-0.06,-0.06,-0.02
0,-0.4,-0.4,-0.08
0,0.53,0.53,0.31
0,0.3,0.3,0.46
0,-0.18,-0.18,-0.52
0,0.08,0.08,0.12
0,-0.68,-0.68,-0.21
0,0.69,0.69,0.02
0,0.3,0.3,0.39
0,1,1,0
0,1.65,1.65,0.31
0,-0.35,-0.35,-0.44
0,0.22,0.22,0.31
0,-0.4,-0.4,0.07
0,-0.1,-0.1,0.77
0,0.3,0.3,-0.39
0,-0.28,-0.28,0.18
0,-0.27,-0.27,-0.21
0,-0.52,-0.52,-0.24
0,-0.07,-0.07,-0.11
0,-0.61,-0.61,-0.08
0,0.65,0.65,0
0,-0.03,-0.03,0.26
0,-0.43,-0.43,-0.34
0,0.23,0.23,0.46
0,0.61,0.61,0.65
0,-0.18,-0.18,-0.28
0,0.21,0.21,-0.02
0,-1.7,-1.7,0.29
0,0.27,0.27,-0.16
0,-0.05,-0.05,1.18
0,-1.63,-1.63,-0.05
0,-0.03,-0.03,0.71
0,1.06,1.06,0.64
0,0.27,0.27,-0.6
0,-1.43,-1.43,-0.68
0,-0.32,-0.32,0.4
0,0.31,0.31,0.1
0,0.12,0.12,0.61
0,-0.34,-0.34,0.33
0,0.79,0.79,-0.08
0,0.11,0.11,0.16
0,-0.17,-0.17,-0.39
0,0.12,0.12,1.11
0,0.03,0.03,0.22
0,-0.28,-0.28,-0.14
0,-1.95,-1.95,-0.31
0,0.48,0.48,0.31
0,-0.4,-0.4,-0.16
0,1.17,1.17,0.06
0,1.25,1.25,-0.05
0,0.44,0.44,-0.33
0,0.43,0.43,0.71
0,-0.79,-0.79,0.66
0,1.36,1.36,0.45
0,0.68,0.68,0.65
0,-0.4,-0.4,0.05
0,-0.64,-0.64,0.2
0,-0.51,-0.51,0.09
0,0.18,0.18,0.58
0,0.23,0.23,0.7
0,0.79,0.79,0.29
0,-0.24,-0.24,-0.47
0,0.08,0.08,0.68
0,0.08,0.08,-0.3
0,-1.02,-1.02,0.51
0,1.35,1.35,1.14
0,0.16,0.16,-0.04
0,0.78,0.78,0.03
0,0.4,0.4,0.16
0,0.68,0.68,0.96
0,-1.25,-1.25,-1.12
0,0.07,0.07,-0.46
0,0.03,0.03,0.25
0,-1.93,-1.93,-0.55
0,-1.06,-1.06,-2.47
0,-1.42,-1.42,-6.04
0,-2.53,-2.53,3.21
0,0.84,0.84,0.14
0,-2.65,-2.65,-2.57
0,1.12,1.12,1.2
0,0.77,0.77,0.48
0,1.3,1.3,0.76
0,0.52,0.52,2.88
0,-1.16,-1.16,-0.63
0,0.52,0.52,-0.57
0,-0.66,-0.66,-0.79
0,1.57,1.57,1.27
0,0.17,0.17,0.99
0,-0.31,-0.31,0.89
0,-1.14,-1.14,-1.25
0,-1.4,-1.4,-2.38
0,-1.31,-1.31,-0.14
0,2.01,2.01,1.78
0,0.13,0.13,-1.21
0,1.02,1.02,1.33
0,1.15,1.15,0.56
0,0.89,0.89,2.1
0,0.46,0.46,-0.5
0,-0.08,-0.08,-0.71
0,0.35,0.35,-0.4
0,-0.18,-0.18,-0.14
0,-0.72,-0.72,-0.28
0,0.48,0.48,-0.74
0,0.02,0.02,-0.11
0,0.38,0.38,-0.08
0,-3.33,-3.33,-3.57
0,0.87,0.87,-0.19
0,0.42,0.42,1.97
0,-1.23,-1.23,-2.11
0,0.82,0.82,-0.19
0,0.25,0.25,1.26
0,-0.23,-0.23,-0.27
0,-0.2,-0.2,-2.04
0,-1.54,-1.54,0.88
0,1.39,1.39,1.93
0,-0.49,-0.49,-0.69
0,0.7,0.7,-0.45
0,0.09,0.09,1.13
0,-0.31,-0.31,-0.59
0,-0.02,-0.02,0.21
0,0.66,0.66,0.75
0,0.08,0.08,0.11
0,-0.14,-0.14,1.06
0,1.11,1.11,0.53
0,0.56,0.56,0.02
0,-0.66,-0.66,-0.66
0,-0.06,-0.06,-0.6
0,-0.56,-0.56,-0.13
0,-0.64,-0.64,-1.54
0,1.26,1.26,0.42
0,0.91,0.91,1.07
0,0.65,0.65,0.24
0,-0.71,-0.71,-0.9
0,-0.34,-0.34,-0.89
0,-0.8,-0.8,-0.03
0,-0.46,-0.46,1.5
0,-0.33,-0.33,0.14
0,0.68,0.68,1.12
0,0.62,0.62,0.5
0,-0.2,-0.2,0.92
0,-0.91,-0.91,-0.65
0,0.32,0.32,-0.47
0,-0.36,-0.36,0.41
0,0.32,0.32,0.03
0,0.16,0.16,0.25
0,0.68,0.68,-0.2
0,-0.31,-0.31,0.17
0,0.16,0.16,0.26
0,0.42,0.42,-0.15
0,-0.92,-0.92,-0.51
0,-2.13,-2.13,-0.59
0,0.4,0.4,0.78
0,0.61,0.61,-0.31
0,0.53,0.53,1.01
0,0.22,0.22,0.2
0,0.87,0.87,1.19
0,-0.97,-0.97,-0.46
0,0.87,0.87,0.54
0,-0.13,-0.13,0.23
0,-1.83,-1.83,-0.46
0,-0.5,-0.5,0.37
0,-1.19,-1.19,-0.46
0,-1.29,-1.29,-0.88
0,0.71,0.71,0.91
0,-0.85,-0.85,0.15
0,0.76,0.76,-0.64
0,-0.05,-0.05,-0.46
0,-0.12,-0.12,-0.72
0,-0.36,-0.36,-0.19
0,-0.89,-0.89,-0.45
0,0.22,0.22,0.64
0,-2.23,-2.23,-0.73
0,0.14,0.14,0.83
0,-0.29,-0.29,-0.46
0,-0.24,-0.24,-0.02
0,0.72,0.72,0.98
0,0.75,0.75,1.1
0,0.13,0.13,0.59
0,-0.57,-0.57,-0.53
0,0.3,0.3,0.37
0,0.99,0.99,0.79
0,-0.3,-0.3,-0.05
0,-0.12,-0.12,-0.39
0,-0.23,-0.23,0.68
0,-0.27,-0.27,0.02
0,0.49,0.49,-0.39
0,-0.8,-0.8,-0.08
0,0.3,0.3,0.66
0,-0.19,-0.19,-0.05
0,0.68,0.68,0.69
0,0.3,0.3,0.28
0,-0.23,-0.23,-1.38
0,0.13,0.13,0.09
0,0.35,0.35,0.5
0,-1.79,-1.79,-0.57
0,0.78,0.78,0.89
0,-0.15,-0.15,0.45
0,0.68,0.68,0.42
0,0.02,0.02,0.16
0,-0.05,-0.05,0
0,-1.09,-1.09,-0.53
0,-1.33,-1.33,-0.45
0,0.45,0.45,0.21
0,-0.98,-0.98,-0.21
0,0.03,0.03,0.54
0,0.09,0.09,0.31
0,1.09,1.09,0.19
0,0.36,0.36,-0.27
0,0.41,0.41,0.36
0,0.39,0.39,0
0,0.51,0.51,0.75
0,0.07,0.07,0.54
0,0.29,0.29,0.1
0,0.05,0.05,0.35
0,0.4,0.4,-0.35
0,-0.58,-0.58,0.06
0,0.44,0.44,0.2
0,-1.29,-1.29,-0.6
0,-0.15,-0.15,-0.39
0,-0.56,-0.56,-0.03
0,0.22,0.22,0
0,-0.32,-0.32,0.18
0,-0.1,-0.1,0.23
0,0.14,0.14,-0.19
0,1.59,1.59,0.73
0,-0.79,-0.79,-0.26
0,0.44,0.44,-0.34
0,0.08,0.08,0.58
0,0.94,0.94,0.03
0,0.4,0.4,0.87
0,0.76,0.76,-0.99
0,-0.63,-0.63,0.16
0,-0.02,-0.02,0.7
0,-1.21,-1.21,-0.35
0,-1.55,-1.55,-0.36
0,-0.15,-0.15,-0.04
0,-0.5,-0.5,-0.64
0,-0.65,-0.65,-0.31
0,-4.13,-4.13,-4.31
0,0.97,0.97,0.6
0,-0.55,-0.55,-0.91
0,-0.27,-0.27,0.14
0,1.3,1.3,2.24
0,-0.89,-0.89,-0.66
0,0.39,0.39,-0.57
0,0.2,0.2,-0.35
0,-2.32,-2.32,-1.76
0,-0.51,-0.51,0.44
0,-1.6,-1.6,-2.27
0,-1.59,-1.59,-0.05
0,-0.81,-0.81,-0.41
0,0.69,0.69,-0.22
0,0.46,0.46,1.42
0,-0.42,-0.42,0.55
0,3.79,3.79,1.86
0,-1.1,-1.1,-1.52
0,0.7,0.7,0.78
0,-0.52,-0.52,0.76
0,0.85,0.85,1.81
0,-0.61,-0.61,-0.23
0,0.26,0.26,-0.47
0,-0.75,-0.75,-1.85
0,-0.26,-0.26,-0.48
0,1,1,-0.75
0,-0.07,-0.07,0.64
0,0.35,0.35,0.22
0,-0.99,-0.99,-1.51
0,-0.48,-0.48,-1.45
0,-0.11,-0.11,0.14
0,-0.63,-0.63,-0.61
0,1.35,1.35,0.26
0,0.78,0.78,0.72
0,0.61,0.61,1.03
0,0.18,0.18,1.53
0,-0.93,-0.93,0.31
0,1.75,1.75,2.37
0,-1.12,-1.12,-1.25
0,-0.6,-0.6,-2.4
0,-1.49,-1.49,-1.41
0,0.34,0.34,0.7
0,-0.93,-0.93,-2.45
0,-0.24,-0.24,0.58
0,1.3,1.3,0.97
0,0.52,0.52,0.16
0,-1.59,-1.59,-1.43
0,0.28,0.28,-0.53
0,-0.36,-0.36,-2.22
0,0.66,0.66,-0.13
0,-0.88,-0.88,-1.01
0,-0.09,-0.09,-1.81
0,0.04,0.04,-2.19
0,-1.3,-1.3,-3.55
0,1.24,1.24,5.04
0,0.42,0.42,1.23
0,-1.17,-1.17,-0.24
0,-0.97,-0.97,-0.8
0,0.77,0.77,0.1
0,1.43,1.43,2.87
0,-0.66,-0.66,0.65
0,2.06,2.06,1.05
0,-0.04,-0.04,-0.46
0,0.61,0.61,0.88
0,-0.87,-0.87,-0.77
0,2.01,2.01,1.04
0,0.44,0.44,0.54
0,0.22,0.22,-0.29
0,0.76,0.76,1.45
0,0.05,0.05,0.87
0,-0.5,-0.5,-0.57
0,0.58,0.58,-0.54
0,0.83,0.83,-0.02
0,1.82,1.82,0.52
0,-0.05,-0.05,0.14
0,0.47,0.47,-0.56
0,1.22,1.22,0.06
0,-0.1,-0.1,1.64
0,-0.1,-0.1,0.71
0,0,0,0.8
0,-1.41,-1.41,-1.28
0,0.17,0.17,0.57
0,0.54,0.54,0.69
0,0.5,0.5,1.23
0,0.97,0.97,0.03
0,-1.32,-1.32,-0.86
0,0.73,0.73,1.63
0,-0.46,-0.46,-0.05
0,1.16,1.16,0.09
0,0,0,0.47
0,0.05,0.05,-0.62
0,0.21,0.21,0.9
0,-0.38,-0.38,-0.52
0,0.33,0.33,0.12
0,-1.69,-1.69,-0.11
0,-0.49,-0.49,1.1
0,-0.7,-0.7,-0.77
0,-0.28,-0.28,-0.33
0,-0.3,-0.3,-0.7
0,-1.36,-1.36,-0.94
0,0.07,0.07,0.33
0,1.02,1.02,1.36
0,-0.73,-0.73,0.11
0,0.27,0.27,0.84
0,1.16,1.16,0.06
0,0.09,0.09,0.56
0,-0.11,-0.11,0.18
0,0.12,0.12,-0.03
0,0.69,0.69,-0.37
0,0.23,0.23,1.07
0,-1.93,-1.93,-2.17
0,0.07,0.07,0.53
0,-0.02,-0.02,0.74
0,-0.55,-0.55,-1.01
0,0.59,0.59,0.83
0,1.33,1.33,1.04
0,0.39,0.39,0.45
0,1.47,1.47,0.5
0,0.1,0.1,-0.25
0,0.19,0.19,0.46
0,-0.24,-0.24,0.16
0,0.17,0.17,0.1
0,0.51,0.51,-0.25
0,-0.22,-0.22,0.26
0,0.24,0.24,0
0,0.41,0.41,0.57
0,0.39,0.39,0.12
0,-0.07,-0.07,0.01
0,-1.59,-1.59,-0.74
0,0.02,0.02,0.68
0,0.02,0.02,-0.32
0,0.17,0.17,0.32
0,-1.08,-1.08,0.74
0,-0.16,-0.16,-0.03
0,-0.59,-0.59,-0.33
0,2.01,2.01,0.7
0,-0.63,-0.63,-0.12
0,0.44,0.44,-0.43
0,-0.89,-0.89,-0.16
0,-0.79,-0.79,0.25
0,-0.46,-0.46,-1.3
0,-2.93,-2.93,-0.65
0,0.18,0.18,-0.09
0,-1.17,-1.17,-0.41
0,-0.19,-0.19,-1.35
0,0.47,0.47,1.04
0,-1.41,-1.41,-0.06
0,-0.66,-0.66,0.73
0,0.26,0.26,0.04
0,0.49,0.49,-0.49
0,0.23,0.23,0.27
0,-0.13,-0.13,-0.7
0,-0.73,-0.73,-0.43
0,0.08,0.08,0.13
0,0.15,0.15,0.07
0,-1.36,-1.36,-1.68
0,0.92,0.92,-0.09
0,-0.17,-0.17,-0.67
0,1.65,1.65,-0.95
0,-0.19,-0.19,0.37
0,0.11,0.11,2.1
0,0.04,0.04,1.5
0,1.46,1.46,1.21
0,0.57,0.57,0.35
0,-0.35,-0.35,-0.62
0,-0.83,-0.83,-0.04
0,-0.02,-0.02,0.58
0,0.06,0.06,0.09
0,0.5,0.5,-0.28
0,1.25,1.25,1.13
0,0.35,0.35,0.68
0,-0.27,-0.27,0.23
0,0.16,0.16,0.24
0,-0.15,-0.15,-0.5
0,0.11,0.11,-0.78
0,1.22,1.22,0.23
0,-0.25,-0.25,0.12
0,0.02,0.02,1.57
0,-0.56,-0.56,-0.26
0,-1.28,-1.28,0.23
0,0.84,0.84,0.91
0,-0.15,-0.15,0.06
0,-2.09,-2.09,-0.72
0,-0.2,-0.2,-0.44
0,0.37,0.37,0.24
0,1.22,1.22,0.8
0,0.22,0.22,0.33
0,-0.05,-0.05,0.23
0,0.44,0.44,0.1
0,-0.89,-0.89,-0.41
0,-0.22,-0.22,-0.96
0,1.4,1.4,0.91
0,-0.04,-0.04,-0.89
0,0.49,0.49,0.41
0,-0.96,-0.96,0.45
0,-0.18,-0.18,0.62
0,-0.22,-0.22,-0.35
0,-1.34,-1.34,0.25
0,0.26,0.26,0.11
0,-1,-1,-0.27
0,-0.11,-0.11,-1.27
0,-1.13,-1.13,-0.97
0,-2.16,-2.16,-1.63
0,-1.4,-1.4,-2.11
0,-0.61,-0.61,1.06
0,0.44,0.44,0.96
0,0.69,0.69,1.06
0,0.16,0.16,-0.1
0,-1.02,-1.02,-1.69
0,0.71,0.71,1.95
0,-0.33,-0.33,-2.22
0,0.63,0.63,1.56
0,0.98,0.98,0.55
0,0.19,0.19,-0.71
0,-0.79,-0.79,0.56
0,-0.1,-0.1,0.35
0,-1.46,-1.46,-3.13
0,0.32,0.32,1.11
0,0.97,0.97,-0.04
0,-0.55,-0.55,0.27
0,1.65,1.65,1.31
0,0.17,0.17,-0.25
0,-0.39,-0.39,-0.15
0,1.49,1.49,0.7
0,0.88,0.88,1.06
0,0.45,0.45,0.56
0,0.81,0.81,0.36
0,0.43,0.43,-0.38
0,0.74,0.74,0.24
0,0.31,0.31,0.39
0,-0.04,-0.04,0.03
0,0.55,0.55,0.17
0,0.66,0.66,-0.06
0,0.55,0.55,0.28
0,0.13,0.13,-0.24
0,0.6,0.6,0.09
0,-1.44,-1.44,-1.15
0,0.18,0.18,0.33
0,-1.05,-1.05,0.11
0,0.85,0.85,-0.24
0,0.24,0.24,0.53
0,-2.13,-2.13,-1.72
0,-0.41,-0.41,-1.09
0,0.17,0.17,1.01
0,1.47,1.47,0.28
0,-0.72,-0.72,-1
0,0.7,0.7,0.98
0,1.03,1.03,0.95
0,0.13,0.13,0.14
0,0.56,0.56,0.5
0,-0.32,-0.32,-0.24
0,-1,-1,0.26
0,0.57,0.57,0.01
0,1.33,1.33,0.43
0,-0.61,-0.61,-0.58
0,0.27,0.27,0.56
0,0.09,0.09,0.01
0,0.38,0.38,0.62
0,-0.22,-0.22,0.39
0,-0.76,-0.76,-0.18
0,0.38,0.38,0.48
0,0.76,0.76,-0.13
0,1.44,1.44,0.87
0,0.67,0.67,0.37
0,0.05,0.05,-0.32
0,-0.12,-0.12,-0.06
0,-0.33,-0.33,0.15
0,-0.78,-0.78,0.1
0,0.89,0.89,0.39
0,-0.81,-0.81,-0.22
0,0.8,0.8,0.32
0,1.41,1.41,0.43
0,-0.1,-0.1,0.41
0,-0.43,-0.43,0.1
0,-1.29,-1.29,-0.26
0,-1.47,-1.47,-0.34
0,0.49,0.49,0.14
0,1.11,1.11,0.41
